COMP_K,COMP_R,COMP_RHKMFWY,COMP_RHKM,MAXSW20_COMP_RHKMFWY,MAXSW20_COMP_RHKM,AVG_DNA_IDX,AVG_RNA_IDX,AVG_DRNA_IDX,MAXSW15_AVG_RNA_IDX
0.11883,0.25734,0.32815,?,0.35714,0.4,0.37055,0.34939,0.36188,0.34167
0.05222,0.36002,0.32488,0.25682,0.64286,0.46667,0.36993,0.37576,0.37357,0.47756
0.16641,0.14784,0.57403,0.26591,0.64286,0.4,0.52742,0.43954,0.48873,0.46731
0.23696,0.45261,0.56746,0.50174,0.92857,0.8,0.55086,0.47357,0.51706,0.57115
0.12841,0.32618,0.55099,0.37754,0.64286,0.46667,0.48962,0.42136,0.45978,0.41218
0.4236,0.29449,0.53333,0.50436,0.78571,0.8,0.47491,0.3617,0.42453,0.54167
0.0,0.32697,0.42095,0.27087,0.42857,?,0.45242,0.3902,0.42523,0.30962
?,0.07853,?,0.35483,0.71429,0.4,0.5321,?,0.47361,0.33654
0.19353,0.22107,0.40612,?,0.5,0.46667,0.43404,0.38164,0.41129,0.45962
0.1481,0.19993,0.44159,0.31029,0.71429,0.53333,0.39759,0.33449,?,0.45321
0.08269,0.10915,0.46575,0.23687,0.71429,0.4,0.44358,0.40312,0.4263,0.35897
?,0.1442,0.41202,0.33437,0.42857,0.4,0.37687,0.34507,0.36336,0.40449
0.33084,0.11697,0.5224,0.36952,0.5,0.33333,0.44088,0.36081,?,0.2609
0.30038,0.09293,0.49003,0.3957,0.5,0.33333,0.45975,0.38355,0.42621,0.32436
0.11492,?,?,0.25518,0.71429,0.4,0.52677,?,0.4639,0.44551
0.29885,?,?,?,0.42857,0.33333,0.43934,0.36168,0.40508,0.35641
0.15099,0.23133,0.48819,0.26105,?,0.46667,0.52968,0.43736,0.48897,0.45577
0.27712,0.18099,?,0.37672,0.64286,0.33333,0.51287,0.40748,0.46615,0.3141
0.27233,0.10723,0.49212,?,0.57143,0.4,0.4666,0.37695,0.42694,0.33974
0.17949,?,0.47077,0.22852,0.5,0.33333,0.52449,0.35526,0.44867,0.35641
0.37394,0.06855,0.52393,0.36271,0.57143,0.53333,0.51169,?,0.46431,0.50577
